randomtestadventurer.c:
Testing Adventurer...
Seed: 1254407964, test failed, incorrect number of cards in hand.
Seed: 900662741, test failed, incorrect number of cards in hand.
Seed: 1191361213, test failed, incorrect number of cards in hand.
Seed: 1796509249, test failed, incorrect number of cards in hand.
Seed: 354138161, test failed, incorrect number of cards in hand.
Seed: 1080207483, test failed, incorrect number of cards in hand.
Seed: 1119884855, test failed, incorrect number of cards in hand.
Seed: 973992508, test failed, incorrect number of cards in hand.
Seed: 200028426, test failed, incorrect number of cards in hand.
Seed: 1010247042, test failed, incorrect number of cards in hand.
Seed: 1132762695, test failed, incorrect number of cards in hand.
Seed: 1943848262, test failed, incorrect number of cards in hand.
Seed: 1127223393, test failed, incorrect number of cards in hand.
Seed: 1844944142, test failed, incorrect number of cards in hand.
Seed: 1116353180, test failed, incorrect number of cards in hand.
Seed: 449118108, test failed, incorrect number of cards in hand.
Seed: 1837455342, test failed, incorrect number of cards in hand.
Seed: 98816647, test failed, incorrect number of cards in hand.
Seed: 826004059, test failed, incorrect number of cards in hand.
Seed: 473492727, test failed, incorrect number of cards in hand.
Seed: 1716562205, test failed, incorrect number of cards in hand.
Seed: 79025444, test failed, incorrect number of cards in hand.
Seed: 1973824674, test failed, incorrect number of cards in hand.
Seed: 485441617, test failed, incorrect number of cards in hand.
Seed: 2041545901, test failed, incorrect number of cards in hand.
Seed: 558813973, test failed, incorrect number of cards in hand.
Seed: 2133177168, test failed, incorrect number of cards in hand.
Seed: 521829549, test failed, incorrect number of cards in hand.
Seed: 1222802053, test failed, incorrect number of cards in hand.
Seed: 1328753746, test failed, incorrect number of cards in hand.
Seed: 599403078, test failed, incorrect number of cards in hand.
Seed: 561194718, test failed, incorrect number of cards in hand.
Seed: 1219067703, test failed, incorrect number of cards in hand.
Seed: 67459649, test failed, incorrect number of cards in hand.
Seed: 1212075903, test failed, incorrect number of cards in hand.
Seed: 221368920, test failed, incorrect number of cards in hand.
Seed: 1185243872, test failed, incorrect number of cards in hand.
Seed: 1184820046, test failed, incorrect number of cards in hand.
Seed: 1297604030, test failed, incorrect number of cards in hand.
Seed: 713286210, test failed, incorrect number of cards in hand.
Seed: 1805179602, test failed, incorrect number of cards in hand.
Seed: 1345653556, test failed, incorrect number of cards in hand.
Seed: 1871700167, test failed, incorrect number of cards in hand.
Seed: 1209782828, test failed, incorrect number of cards in hand.
Seed: 1131164069, test failed, incorrect number of cards in hand.
Seed: 823467871, test failed, incorrect number of cards in hand.
Seed: 884378869, test failed, incorrect number of cards in hand.
Seed: 1489620239, test failed, incorrect number of cards in hand.
Seed: 1870282093, test failed, incorrect number of cards in hand.
Seed: 924303422, test failed, incorrect number of cards in hand.
Seed: 820414788, test failed, incorrect number of cards in hand.
Seed: 400046034, test failed, incorrect number of cards in hand.
Seed: 1370986079, test failed, incorrect number of cards in hand.
Seed: 1937931705, test failed, incorrect number of cards in hand.
Seed: 623105435, test failed, incorrect number of cards in hand.
Seed: 1899908084, test failed, incorrect number of cards in hand.
Seed: 1905411794, test failed, incorrect number of cards in hand.
Seed: 1426549128, test failed, incorrect number of cards in hand.
Seed: 2064471642, test failed, incorrect number of cards in hand.
Seed: 1428657297, test failed, incorrect number of cards in hand.
Seed: 1957055430, test failed, incorrect number of cards in hand.
Seed: 986278505, test failed, incorrect number of cards in hand.
Seed: 1881871095, test failed, incorrect number of cards in hand.
Seed: 1827232589, test failed, incorrect number of cards in hand.
Seed: 208839886, test failed, incorrect number of cards in hand.
Seed: 785155544, test failed, incorrect number of cards in hand.
Seed: 1839004855, test failed, incorrect number of cards in hand.
Seed: 1315866032, test failed, incorrect number of cards in hand.
Seed: 99590912, test failed, incorrect number of cards in hand.
Seed: 1848563464, test failed, incorrect number of cards in hand.
Seed: 1368522801, test failed, incorrect number of cards in hand.
Seed: 586195492, test failed, incorrect number of cards in hand.
Seed: 1324716989, test failed, incorrect number of cards in hand.
Seed: 1720086322, test failed, incorrect number of cards in hand.
Seed: 8027467, test failed, incorrect number of cards in hand.
Seed: 925290374, test failed, incorrect number of cards in hand.
Seed: 2040525620, test failed, incorrect number of cards in hand.
Seed: 1412097453, test failed, incorrect number of cards in hand.
Seed: 1635122871, test failed, incorrect number of cards in hand.
Seed: 1018596253, test failed, incorrect number of cards in hand.
Seed: 683198404, test failed, incorrect number of cards in hand.
Seed: 1621329785, test failed, incorrect number of cards in hand.
Seed: 1244122471, test failed, incorrect number of cards in hand.
Seed: 182479008, test failed, incorrect number of cards in hand.
Seed: 1613913136, test failed, incorrect number of cards in hand.
Seed: 1482384714, test failed, incorrect number of cards in hand.
Seed: 441894089, test failed, incorrect number of cards in hand.
Seed: 1126424899, test failed, incorrect number of cards in hand.
Seed: 1945353531, test failed, incorrect number of cards in hand.
Seed: 593151611, test failed, incorrect number of cards in hand.
Seed: 1998327645, test failed, incorrect number of cards in hand.
Seed: 1432906354, test failed, incorrect number of cards in hand.
Seed: 1841936312, test failed, incorrect number of cards in hand.
Seed: 1224487714, test failed, incorrect number of cards in hand.
Seed: 290075472, test failed, incorrect number of cards in hand.
Seed: 1787362283, test failed, incorrect number of cards in hand.
Seed: 1502469887, test failed, incorrect number of cards in hand.
Seed: 279009083, test failed, incorrect number of cards in hand.
Seed: 1635726011, test failed, incorrect number of cards in hand.
Seed: 1909863621, test failed, incorrect number of cards in hand.
Seed: 87506993, test failed, incorrect number of cards in hand.
Seed: 945538945, test failed, incorrect number of cards in hand.
Seed: 1561072559, test failed, incorrect number of cards in hand.
Seed: 2117526396, test failed, incorrect number of cards in hand.
Seed: 570722872, test failed, incorrect number of cards in hand.
Seed: 1921827943, test failed, incorrect number of cards in hand.
Seed: 1745623543, test failed, incorrect number of cards in hand.
Seed: 1709080444, test failed, incorrect number of cards in hand.
Seed: 1979571351, test failed, incorrect number of cards in hand.
Seed: 840591949, test failed, incorrect number of cards in hand.
Seed: 1478472616, test failed, incorrect number of cards in hand.
Seed: 1301016455, test failed, incorrect number of cards in hand.
Seed: 250880226, test failed, incorrect number of cards in hand.
Seed: 543286663, test failed, incorrect number of cards in hand.
Seed: 375354703, test failed, incorrect number of cards in hand.
Seed: 2088761327, test failed, incorrect number of cards in hand.
Seed: 2107642796, test failed, incorrect number of cards in hand.
Seed: 1812176026, test failed, incorrect number of cards in hand.
Seed: 251188964, test failed, incorrect number of cards in hand.
