randomtestcard1.c:
Testing Smithy...
Seed: 478615681, test failed.
Seed: 787553325, test failed.
Seed: 118945659, test failed.
Seed: 1083344296, test failed.
Seed: 330101797, test failed.
Seed: 889760501, test failed.
Seed: 1338127891, test failed.
Seed: 151796942, test failed.
Seed: 1901644797, test failed.
Seed: 1009557072, test failed.
Seed: 651133682, test failed.
Seed: 864104955, test failed.
Seed: 295498307, test failed.
Seed: 886136173, test failed.
Seed: 912962178, test failed.
Seed: 134326462, test failed.
Seed: 1091666082, test failed.
Seed: 808817736, test failed.
Seed: 350380604, test failed.
Seed: 1057378661, test failed.
Seed: 176925974, test failed.
Seed: 1308348737, test failed.
Seed: 767544515, test failed.
Seed: 1060007576, test failed.
Seed: 766414927, test failed.
Seed: 1980279268, test failed.
Seed: 1315227729, test failed.
Seed: 328942545, test failed.
Seed: 700750972, test failed.
Seed: 1417017869, test failed.
Seed: 1156535625, test failed.
Seed: 857807362, test failed.
Seed: 325740472, test failed.
Seed: 1311329800, test failed.
Seed: 1411303483, test failed.
Seed: 1356603478, test failed.
Seed: 20880328, test failed.
Seed: 955799674, test failed.
Seed: 1977614246, test failed.
Seed: 1310130508, test failed.
Seed: 1937888250, test failed.
Seed: 2014094136, test failed.
Seed: 1839826703, test failed.
Seed: 568874719, test failed.
Seed: 1410631752, test failed.
Seed: 2006807178, test failed.
Seed: 1389753272, test failed.
Seed: 520401788, test failed.
Seed: 236272342, test failed.
Seed: 244131173, test failed.
Seed: 2052956402, test failed.
Seed: 1088321634, test failed.
Seed: 2118203218, test failed.
Seed: 714777926, test failed.
Seed: 1912444910, test failed.
Seed: 397395694, test failed.
Seed: 1020350914, test failed.
Seed: 660998195, test failed.
Seed: 459559216, test failed.
Seed: 1105787997, test failed.
Seed: 1068281855, test failed.
Seed: 142391050, test failed.
Seed: 1682242419, test failed.
Seed: 2026045224, test failed.
Seed: 347040779, test failed.
Seed: 1418606939, test failed.
Seed: 1723427400, test failed.
Seed: 178866615, test failed.
Seed: 256082586, test failed.
Seed: 1494997138, test failed.
Seed: 771069327, test failed.
Seed: 1723893361, test failed.
Seed: 8915367, test failed.
Seed: 356630563, test failed.
Seed: 1467280823, test failed.
Seed: 191181904, test failed.
Seed: 280046439, test failed.
Seed: 698630509, test failed.
Seed: 996365792, test failed.
Seed: 1733319971, test failed.
Seed: 699884834, test failed.
Seed: 1595920104, test failed.
Seed: 1363888188, test failed.
Seed: 1969975556, test failed.
Seed: 520947613, test failed.
Seed: 1641014622, test failed.
Seed: 1062398232, test failed.
Seed: 935953534, test failed.
Seed: 1454832244, test failed.
Seed: 1539788183, test failed.
Seed: 607519009, test failed.
Seed: 1162708449, test failed.
Seed: 2064543041, test failed.
Seed: 702370658, test failed.
Seed: 291047396, test failed.
Seed: 109348109, test failed.
Seed: 1292650244, test failed.
Seed: 1266760817, test failed.
Seed: 1332571285, test failed.
Seed: 2129025558, test failed.
Seed: 259258124, test failed.
Seed: 998052192, test failed.
Seed: 692497220, test failed.
Seed: 245486308, test failed.
Seed: 1079106176, test failed.
Seed: 774475235, test failed.
Seed: 1368760930, test failed.
Seed: 426706986, test failed.
Seed: 1651038995, test failed.
Seed: 51761860, test failed.
Seed: 1417284626, test failed.
Seed: 785534973, test failed.
Seed: 1866378183, test failed.
Seed: 1071506007, test failed.
Seed: 994064868, test failed.
Seed: 757501071, test failed.
Seed: 528120803, test failed.
Seed: 427495701, test failed.
Seed: 1542075342, test failed.
Seed: 1220463840, test failed.
Seed: 310772852, test failed.
Seed: 12839407, test failed.
Seed: 1784639112, test failed.
Seed: 817870457, test failed.
Seed: 1568624038, test failed.
Seed: 1082797202, test failed.
Seed: 1030742287, test failed.
Seed: 1400876239, test failed.
Seed: 1773144318, test failed.
Seed: 1801102642, test failed.
Seed: 1377946517, test failed.
Seed: 1873048530, test failed.
Seed: 19189681, test failed.
Seed: 979201695, test failed.
Seed: 826042592, test failed.
Seed: 2034962893, test failed.
Seed: 2047120963, test failed.
Seed: 668865578, test failed.
Seed: 339865046, test failed.
Seed: 824987238, test failed.
Seed: 208884705, test failed.
Seed: 599430453, test failed.
Seed: 1628632967, test failed.
Seed: 1989263814, test failed.
Seed: 177721643, test failed.
Seed: 1874019175, test failed.
Seed: 2054002874, test failed.
Seed: 1314251832, test failed.
Seed: 1752644641, test failed.
Seed: 1486973931, test failed.
Seed: 198151767, test failed.
Seed: 1568019030, test failed.
