randomtestcard2.c:
Testing Steward...
Seed: 1254407964, test passed.
Seed: 1154937132, test passed.
Seed: 1867990154, test passed.
Seed: 2071169331, test passed.
Seed: 1724066425, test passed.
Seed: 784659713, test passed.
Seed: 424142730, test passed.
Seed: 1791488574, test passed.
Seed: 1537709260, test passed.
Seed: 1614023025, test passed.
Seed: 1937448941, test passed.
Seed: 73860423, test passed.
Seed: 1382198691, test passed.
Seed: 1653525892, test passed.
Seed: 1251139992, test passed.
Seed: 1097130094, test passed.
Seed: 1767984197, test passed.
Seed: 1753814364, test passed.
Seed: 902787382, test passed.
Seed: 1130537241, test passed.
Seed: 807224792, test passed.
Seed: 1214794298, test passed.
Seed: 1471691557, test passed.
Seed: 1614419394, test passed.
Seed: 1738076595, test passed.
Seed: 668763064, test passed.
Seed: 2071144008, test passed.
Seed: 2023991591, test passed.
Seed: 1013954291, test passed.
Seed: 12979479, test passed.
Seed: 1883264405, test passed.
Seed: 1434533209, test passed.
Seed: 329071072, test passed.
Seed: 1547565951, test passed.
Seed: 1903569703, test passed.
Seed: 1863192000, test passed.
Seed: 1468286497, test passed.
Seed: 1189917180, test passed.
Seed: 1526425116, test passed.
Seed: 241814012, test passed.
Seed: 199713041, test passed.
Seed: 85607620, test passed.
Seed: 1147427645, test passed.
Seed: 1324745570, test passed.
Seed: 1645389272, test passed.
Seed: 208496234, test passed.
Seed: 1668888100, test passed.
Seed: 1301477483, test passed.
Seed: 349967177, test passed.
Seed: 1896233315, test passed.
Seed: 881535075, test passed.
Seed: 1302065078, test passed.
Seed: 225351731, test passed.
Seed: 1633069377, test passed.
Seed: 1085925156, test passed.
Seed: 134487003, test passed.
Seed: 134175900, test passed.
Seed: 944177177, test passed.
Seed: 501067603, test passed.
Seed: 734897599, test passed.
Seed: 1392538629, test passed.
Seed: 649545205, test passed.
Seed: 945313859, test passed.
Seed: 842104676, test passed.
Seed: 1661223824, test passed.
Seed: 1763062428, test passed.
Seed: 332976614, test passed.
Seed: 1693230072, test passed.
Seed: 1364635100, test passed.
Seed: 1449683925, test passed.
Seed: 1654750395, test passed.
Seed: 230886214, test passed.
Seed: 1927914679, test passed.
Seed: 679388075, test passed.
Seed: 565762489, test passed.
Seed: 356058645, test passed.
Seed: 980782928, test passed.
Seed: 1345796211, test passed.
Seed: 1714132876, test passed.
Seed: 965208236, test passed.
Seed: 1201935714, test passed.
Seed: 1192068808, test passed.
Seed: 636427137, test passed.
Seed: 780834874, test passed.
Seed: 600117750, test passed.
Seed: 888129827, test passed.
Seed: 38523770, test passed.
Seed: 1037816637, test passed.
Seed: 1188128028, test passed.
Seed: 2074409915, test passed.
Seed: 1164101938, test passed.
Seed: 567362684, test passed.
Seed: 953689005, test passed.
Seed: 691446647, test passed.
Seed: 139904832, test passed.
Seed: 1400319090, test passed.
Seed: 334481252, test passed.
Seed: 524745434, test passed.
Seed: 2076726334, test passed.
Seed: 301071307, test passed.
Seed: 1225823222, test passed.
Seed: 2006098019, test passed.
Seed: 574154859, test passed.
Seed: 1835181220, test passed.
Seed: 2079370393, test passed.
Seed: 411501499, test passed.
Seed: 173022265, test passed.
Seed: 2094556532, test passed.
Seed: 426788916, test passed.
Seed: 716455878, test passed.
Seed: 689798566, test passed.
Seed: 986005344, test passed.
Seed: 1179720066, test passed.
Seed: 459687422, test passed.
Seed: 1764583124, test passed.
Seed: 178869111, test passed.
Seed: 1158548394, test passed.
Seed: 1895053904, test passed.
Seed: 761712446, test passed.
Seed: 1506090281, test passed.
Seed: 718381854, test passed.
Seed: 1734679415, test passed.
Seed: 1635183321, test passed.
Seed: 1115448054, test passed.
Seed: 201425164, test passed.
Seed: 8051060, test passed.
Seed: 166851193, test passed.
Seed: 1832955801, test passed.
Seed: 629142800, test passed.
Seed: 1741916621, test passed.
Seed: 1637177005, test passed.
Seed: 1549138600, test passed.
Seed: 1171893045, test passed.
Seed: 50752407, test passed.
Seed: 1545740358, test passed.
Seed: 248246145, test passed.
Seed: 1092805299, test passed.
Seed: 994649116, test passed.
Seed: 547879443, test passed.
Seed: 111966605, test passed.
Seed: 1410671664, test passed.
Seed: 646070779, test passed.
Seed: 551933180, test passed.
Seed: 1459695429, test passed.
Seed: 1844638448, test passed.
Seed: 1460638316, test passed.
Seed: 1733296328, test passed.
Seed: 1579251332, test passed.
Seed: 561759724, test passed.
Seed: 1789291730, test passed.
Seed: 1238481109, test passed.
Seed: 1546009119, test passed.
Seed: 2088780943, test passed.
Seed: 286150470, test passed.
Seed: 973485633, test passed.
Seed: 1391338671, test passed.
Seed: 1186034203, test passed.
Seed: 2031630864, test passed.
Seed: 149953010, test passed.
Seed: 1265120148, test passed.
Seed: 26086064, test passed.
Seed: 755694230, test passed.
Seed: 353733216, test passed.
Seed: 934943576, test passed.
Seed: 18646, test passed.
Seed: 2118713857, test passed.
Seed: 1558654169, test passed.
Seed: 739662639, test passed.
Seed: 1006813987, test passed.
Seed: 783090696, test passed.
Seed: 1618072853, test passed.
Seed: 57710944, test passed.
Seed: 658629201, test passed.
Seed: 805095151, test passed.
Seed: 1637395722, test passed.
Seed: 1738068989, test passed.
Seed: 1102245344, test passed.
Seed: 1541444471, test passed.
Seed: 669509126, test passed.
Seed: 2082278859, test passed.
Seed: 1212165394, test passed.
Seed: 1696346075, test passed.
Seed: 24183250, test passed.
Seed: 523345044, test passed.
Seed: 1602752122, test passed.
Seed: 1340009563, test passed.
Seed: 437090158, test passed.
Seed: 1275796138, test passed.
Seed: 1990762654, test passed.
Seed: 547796802, test passed.
Seed: 848554215, test passed.
Seed: 14710890, test passed.
Seed: 1958122046, test passed.
Seed: 1763294899, test passed.
Seed: 1884492142, test passed.
Seed: 1161385646, test passed.
Seed: 2006742032, test passed.
Seed: 1910648316, test passed.
Seed: 712397441, test passed.
Seed: 786280174, test passed.
Seed: 1010160338, test passed.
Seed: 1243462869, test passed.
Seed: 2005038376, test passed.
Seed: 1125408687, test passed.
Seed: 2025136106, test passed.
Seed: 1437458523, test passed.
Seed: 1009031305, test passed.
Seed: 942898085, test passed.
Seed: 269209684, test passed.
Seed: 370962257, test passed.
Seed: 1215973358, test passed.
Seed: 519837624, test passed.
Seed: 749656413, test passed.
Seed: 1294452089, test passed.
Seed: 1933680825, test passed.
Seed: 2020091387, test passed.
Seed: 1128442786, test passed.
Seed: 1628717292, test passed.
Seed: 256853231, test passed.
Seed: 1892922165, test passed.
Seed: 1040754735, test passed.
Seed: 594553866, test passed.
Seed: 968463380, test passed.
Seed: 1715220278, test passed.
Seed: 1195178324, test passed.
Seed: 172404933, test passed.
Seed: 2049708280, test passed.
Seed: 1455685750, test passed.
Seed: 836360018, test passed.
Seed: 623704176, test passed.
Seed: 1295917082, test passed.
Seed: 1886262806, test passed.
Seed: 1468682420, test passed.
Seed: 833147773, test passed.
Seed: 843255072, test passed.
Seed: 650815665, test passed.
Seed: 1569709773, test passed.
Seed: 889673106, test passed.
Seed: 771584887, test passed.
Seed: 728878350, test passed.
Seed: 620328633, test passed.
Seed: 1339510845, test passed.
Seed: 1889543574, test passed.
Seed: 1239616254, test passed.
Seed: 2134782713, test passed.
Seed: 1532640115, test passed.
Seed: 1960153301, test passed.
Seed: 1221911024, test passed.
Seed: 922799954, test passed.
Seed: 640676508, test passed.
Seed: 981393562, test passed.
Seed: 563089769, test passed.
Seed: 1538309431, test passed.
Seed: 227748762, test passed.
Seed: 779659363, test passed.
Seed: 1947016457, test passed.
Seed: 1652380386, test passed.
Seed: 1437250022, test passed.
Seed: 2083280529, test passed.
Seed: 788907871, test passed.
Seed: 1712862064, test passed.
Seed: 167140969, test passed.
