randomtestadventurer.c:
Testing Adventurer...
Seed: 1635127377, test failed, incorrect number of cards in hand.
Seed: 1375575592, test failed, incorrect number of cards in hand.
Seed: 1240548723, test failed, incorrect number of cards in hand.
Seed: 1877125592, test failed, incorrect number of cards in hand.
Seed: 1994814425, test failed, incorrect number of cards in hand.
Seed: 779361337, test failed, incorrect number of cards in hand.
Seed: 1646547048, test failed, incorrect number of cards in hand.
Seed: 744607712, test failed, incorrect number of cards in hand.
Seed: 1189740114, test failed, incorrect number of cards in hand.
Seed: 688186098, test failed, incorrect number of cards in hand.
Seed: 262917911, test failed, incorrect number of cards in hand.
Seed: 1739528811, test failed, incorrect number of cards in hand.
Seed: 291276236, test failed, incorrect number of cards in hand.
Seed: 1493596820, test failed, incorrect number of cards in hand.
Seed: 1692586272, test failed, incorrect number of cards in hand.
Seed: 86867798, test failed, incorrect number of cards in hand.
Seed: 1034313638, test failed, incorrect number of cards in hand.
Seed: 1719977458, test failed, incorrect number of cards in hand.
Seed: 1383170160, test failed, incorrect number of cards in hand.
Seed: 1667748835, test failed, incorrect number of cards in hand.
Seed: 1182322100, test failed, incorrect number of cards in hand.
Seed: 176528257, test failed, incorrect number of cards in hand.
Seed: 1690794342, test failed, incorrect number of cards in hand.
Seed: 652350796, test failed, incorrect number of cards in hand.
Seed: 1484252993, test failed, incorrect number of cards in hand.
Seed: 1041228824, test failed, incorrect number of cards in hand.
Seed: 1461859007, test failed, incorrect number of cards in hand.
Seed: 1624438778, test failed, incorrect number of cards in hand.
Seed: 1618152984, test failed, incorrect number of cards in hand.
Seed: 894203338, test failed, incorrect number of cards in hand.
Seed: 314066213, test failed, incorrect number of cards in hand.
Seed: 1981566088, test failed, incorrect number of cards in hand.
Seed: 2131409340, test failed, incorrect number of cards in hand.
Seed: 1836449359, test failed, incorrect number of cards in hand.
Seed: 1727465222, test failed, incorrect number of cards in hand.
Seed: 1245577727, test failed, incorrect number of cards in hand.
Seed: 1823727236, test failed, incorrect number of cards in hand.
Seed: 127543637, test failed, incorrect number of cards in hand.
Seed: 1178744997, test failed, incorrect number of cards in hand.
Seed: 1448549182, test failed, incorrect number of cards in hand.
Seed: 138990227, test failed, incorrect number of cards in hand.
Seed: 1581383949, test failed, incorrect number of cards in hand.
Seed: 1268266095, test failed, incorrect number of cards in hand.
