randomtestcard2.c:
Testing Steward...
Seed: 1635127377, test passed.
Seed: 1521435448, test passed.
Seed: 177000022, test passed.
Seed: 40575140, test passed.
Seed: 1938083905, test passed.
Seed: 694768005, test passed.
Seed: 1195018688, test passed.
Seed: 1439420002, test passed.
Seed: 1803431864, test passed.
Seed: 888268433, test passed.
Seed: 68748593, test passed.
Seed: 1705269665, test passed.
Seed: 1534203634, test passed.
Seed: 770767599, test passed.
Seed: 483958495, test passed.
Seed: 1267295329, test passed.
Seed: 919407781, test passed.
Seed: 1402549894, test passed.
Seed: 737971940, test passed.
Seed: 458450276, test passed.
Seed: 530552799, test passed.
Seed: 1820564530, test passed.
Seed: 721481777, test passed.
Seed: 1598955263, test passed.
Seed: 98353525, test passed.
Seed: 866879433, test passed.
Seed: 968097127, test passed.
Seed: 1076415875, test passed.
Seed: 1603932570, test passed.
Seed: 327701861, test passed.
Seed: 408759975, test passed.
Seed: 1372768867, test passed.
Seed: 907829539, test passed.
Seed: 523639584, test passed.
Seed: 1648946331, test passed.
Seed: 780976054, test passed.
Seed: 779087371, test passed.
Seed: 1460955990, test passed.
Seed: 2145710407, test passed.
Seed: 1559008467, test passed.
Seed: 27624345, test passed.
Seed: 694133335, test passed.
Seed: 1908855749, test passed.
Seed: 1864087232, test passed.
Seed: 1828021445, test passed.
Seed: 1499547795, test passed.
Seed: 1763880500, test passed.
Seed: 320094583, test passed.
Seed: 1248976337, test passed.
Seed: 12087287, test passed.
Seed: 1950299256, test passed.
Seed: 1944915862, test passed.
Seed: 489861725, test passed.
Seed: 1207689218, test passed.
Seed: 2035283778, test passed.
Seed: 338757015, test passed.
Seed: 830291365, test passed.
Seed: 210017806, test passed.
Seed: 905644972, test passed.
Seed: 1183498805, test passed.
Seed: 1523973429, test passed.
Seed: 1140834712, test passed.
Seed: 668016449, test passed.
Seed: 1146830617, test passed.
Seed: 285773892, test passed.
Seed: 2025844741, test passed.
Seed: 1832961080, test passed.
Seed: 546266687, test passed.
Seed: 885817260, test passed.
Seed: 2010490195, test passed.
Seed: 180055040, test passed.
Seed: 930274327, test passed.
Seed: 883101100, test passed.
Seed: 695100046, test passed.
Seed: 2040904860, test passed.
Seed: 2147005106, test passed.
Seed: 1050347537, test passed.
Seed: 1968488746, test passed.
Seed: 1169317513, test passed.
Seed: 2006292762, test passed.
Seed: 1963318937, test passed.
Seed: 1982106187, test passed.
Seed: 1687763726, test passed.
Seed: 1939942842, test passed.
Seed: 1385562162, test passed.
Seed: 2068806247, test passed.
Seed: 2117619068, test passed.
Seed: 1793739876, test passed.
Seed: 1490028574, test passed.
Seed: 134827659, test passed.
Seed: 1768840623, test passed.
Seed: 806625862, test passed.
Seed: 1393548367, test passed.
Seed: 905399915, test passed.
Seed: 403545862, test passed.
Seed: 293391524, test passed.
Seed: 1866790413, test passed.
Seed: 1188212133, test passed.
Seed: 1971503177, test passed.
Seed: 1712092271, test passed.
Seed: 1812814730, test passed.
Seed: 1401610898, test passed.
Seed: 1711978928, test passed.
Seed: 668706985, test passed.
Seed: 791115349, test passed.
Seed: 1417967769, test passed.
Seed: 781925396, test passed.
Seed: 480724179, test passed.
Seed: 1759051329, test passed.
Seed: 2014593527, test passed.
Seed: 1384111279, test passed.
Seed: 493878212, test passed.
Seed: 595579571, test passed.
Seed: 1520067514, test passed.
Seed: 403902789, test passed.
Seed: 790989998, test passed.
Seed: 2115978870, test passed.
Seed: 1333782107, test passed.
Seed: 1111227812, test passed.
Seed: 1762876483, test passed.
Seed: 2144607111, test passed.
Seed: 439957134, test passed.
Seed: 1200032166, test passed.
Seed: 1452264810, test passed.
Seed: 2050802665, test passed.
Seed: 1939090799, test passed.
Seed: 1897962907, test passed.
Seed: 544464268, test passed.
Seed: 300677295, test passed.
Seed: 102550009, test passed.
Seed: 281442273, test passed.
Seed: 457989711, test passed.
Seed: 2029732864, test passed.
Seed: 237851710, test passed.
Seed: 1003794638, test passed.
Seed: 1209325876, test passed.
Seed: 737081190, test passed.
Seed: 762379195, test passed.
Seed: 1885582746, test passed.
Seed: 444104396, test passed.
Seed: 1280466873, test passed.
Seed: 2015339324, test passed.
Seed: 506907755, test passed.
Seed: 2038155602, test passed.
Seed: 699670272, test passed.
Seed: 917093246, test passed.
Seed: 1940051499, test passed.
Seed: 1995964224, test passed.
Seed: 1349226127, test passed.
Seed: 34164975, test passed.
Seed: 1086634038, test passed.
Seed: 1311782149, test passed.
Seed: 586104712, test passed.
Seed: 1492659649, test passed.
Seed: 1820805701, test passed.
Seed: 137701768, test passed.
Seed: 2053264197, test passed.
Seed: 1076125484, test passed.
Seed: 225453279, test passed.
Seed: 1688320528, test passed.
Seed: 1165216363, test passed.
Seed: 376030162, test passed.
Seed: 413205656, test passed.
Seed: 417440189, test passed.
Seed: 957644554, test passed.
Seed: 1962790623, test passed.
Seed: 834403868, test passed.
